=== MATCHES TABLE ===,,,,
capture_sequence,unit_name,cost,ocr_number,
1,Gnar,1,3,
1,Lucian,1,3,
1,Syndra,1,3,
1,Xayah,2,3,
2,K'Sante,4,5,
2,Vi,2,5,
2,Xin Zhao,2,5,
3,Ahri,3,5,
3,Darius,3,5,
3,Dr. Mundo,2,5,
3,Lux,2,5,
3,Rell,1,5,
4,Kennen,1,5,
4,Rakan,2,5,
4,Shen,2,5,
4,Syndra,1,5,
5,Kalista,1,5,
5,Kobuko,2,5,
5,Rakan,2,5,
5,Rell,1,5,
5,Udyr,3,5,
6,Gangplank,2,5,
6,Kennen,1,5,
6,Naafiri,1,5,
6,Shen,2,5,
6,Xin Zhao,2,5,
7,Kalista,1,6,
7,Malzahar,3,6,
7,Senna,3,6,
7,Sett,4,6,
7,Shen,2,6,
8,Darius,3,6,
8,Jhin,2,6,
8,Katarina,2,6,
8,Rell,1,6,
8,Shen,2,6,
9,Sivir,1,6,
9,Xin Zhao,2,6,
9,lulu,3,6,
10,Kalista,1,6,
10,Lux,2,6,
10,Malzahar,3,6,
10,Senna,3,6,
10,Yasuo,3,6,
11,Kalista,1,7,
11,Lux,2,7,
11,Malzahar,3,7,
11,Senna,3,7,
11,Yasuo,3,7,
12,Jayce,3,7,
12,Yasuo,3,7,
12,lulu,3,7,
13,Ahri,3,7,
13,Jayce,3,7,
13,Nikko,3,7,
13,Vi,2,7,
13,lulu,3,7,
14,Kalista,1,8,
14,Kayle,1,8,
14,Samira,4,8,
14,Udyr,3,8,
14,Udyr,3,8,
15,Karma,4,8,
15,Sett,4,8,
15,Sivir,1,8,
15,Yasuo,3,8,
15,Yummi,4,8,
16,Akali,4,8,
16,Gnar,1,8,
16,Kobuko,2,8,
16,Malzahar,3,8,
16,lulu,3,8,
17,Jinx,4,8,
17,Ryze,4,8,
17,Udyr,3,8,
17,Zac,1,8,
18,Janna,2,8,
18,Malzahar,3,8,
18,Viego,3,8,
19,Darius,3,8,
19,Jhin,2,8,
19,Kobuko,2,8,
20,Kalista,1,8,
20,Sett,4,8,
20,Twisted Fate,5,8,
20,Vi,2,8,
20,lulu,3,8,
21,Darius,3,8,
21,Jarvan IV,4,8,
21,Lux,2,8,
21,Ziggs,3,8,
21,lulu,3,8,
22,Aatrox,1,8,
22,Gangplank,2,8,
22,Garen,1,8,
22,Poppy,4,8,
22,Zac,1,8,
23,Ashe,4,8,
23,Darius,3,8,
23,Jayce,3,8,
23,Kalista,1,8,
23,Zac,1,8,
24,Kobuko,2,8,
24,Rakan,2,8,
24,Viego,3,8,
24,lulu,3,8,
25,Akali,4,8,
25,Gangplank,2,8,
25,Lux,2,8,
25,Syndra,1,8,
26,Kalista,1,8,
26,Seraphine,5,8,
26,Yummi,4,8,
27,Darius,3,8,
27,Janna,2,8,
27,Kalista,1,8,
28,Garen,1,8,
28,Naafiri,1,8,
28,Rakan,2,8,
28,Yasuo,3,8,
29,Ahri,3,8,
29,Dr. Mundo,2,8,
29,Poppy,4,8,
29,Zac,1,8,
29,lulu,3,8,
30,Sett,4,8,
30,Swain,3,8,
30,Yummi,4,8,
30,Zac,1,8,
31,Akali,4,8,
31,Jayce,3,8,
31,Kaitlyn,3,8,
31,Samira,4,8,
32,Aatrox,1,8,
32,Jayce,3,8,
32,Sivir,1,8,
32,Zac,1,8,
33,Janna,2,8,
33,Leona,4,8,
33,Lucian,1,8,
33,Swain,3,8,
34,Janna,2,8,
34,Lux,2,8,
34,Malzahar,3,8,
34,Rakan,2,8,
,,,,
=== TEMPLATE_STATS TABLE ===,,,,
id,unit_name,cost,ocr_number,total_matches
1,Xayah,2,3,1
2,Syndra,1,3,1
3,Lucian,1,3,1
4,Gnar,1,3,1
5,Xin Zhao,2,5,2
